player_id,name,position,team,adp,times_drafted,high,low,stdev,bye
2885,Josh Allen,QB,BUF,1.6,423,1,6,0.8,7
5025,Jalen Hurts,QB,PHI,1.9,372,1,5,0.8,10
2434,Christian McCaffrey,RB,SF,2.7,799,1,8,1.4,8
2462,Patrick Mahomes,QB,KC,4,1034,1,9,1.8,5
2888,Lamar Jackson,QB,BAL,4.2,594,1,10,1.4,13
2390,Tyreek Hill,WR,MIA,6.3,877,1,12,2,6
5676,C.J. Stroud,QB,HOU,6.4,392,1,15,1.9,8
4869,CeeDee Lamb,WR,DAL,6.7,665,1,13,2.2,14
5679,Anthony Richardson Sr.,QB,IND,8.9,585,3,19,2,13
5503,Breece Hall,RB,NYJ,9.3,1165,1,19,2.8,13
4882,Joe Burrow,QB,CIN,9.7,369,4,17,2.1,6
5670,Bijan Robinson,RB,ATL,10.6,992,2,19,3,11
4892,Jordan Love,QB,GB,12.5,362,5,25,2.7,11
5177,Ja'Marr Chase,WR,CIN,13.6,740,7,23,2.5,6
2377,Dak Prescott,QB,DAL,14.7,614,7,23,2.8,14
4864,Jonathan Taylor,RB,IND,15.1,405,8,23,2.6,13
3299,Kyler Murray,QB,ARI,15.6,1038,7,28,3.3,14
4890,Tua Tagovailoa,QB,MIA,16.4,299,9,25,2.8,6
4876,Justin Jefferson,WR,MIN,16.8,954,7,26,3.7,6
5182,Amon-Ra St. Brown,WR,DET,17.8,1654,7,27,3.8,6
2860,Saquon Barkley,RB,PHI,19.5,856,10,29,3.3,10
3247,A.J. Brown,WR,PHI,21.1,638,13,33,2.8,10
4887,Justin Herbert,QB,LAC,22.4,238,14,32,3.2,7
5672,Jahmyr Gibbs,RB,DET,23.5,864,14,35,3.6,6
5548,Garrett Wilson,WR,NYJ,24.4,1063,16,34,3,13
6173,Caleb Williams,QB,CHI,25.6,700,14,39,4.3,10
5623,Kyren Williams,RB,LAR,25.9,568,17,38,3.4,11
2350,Derrick Henry,RB,BAL,27.9,990,17,39,4.1,13
1664,Matthew Stafford,QB,LAR,28.3,323,18,39,3.8,11
5714,Puka Nacua,WR,LAR,28.4,634,19,41,3.5,11
1004,Aaron Rodgers,QB,NYJ,31.2,302,18,45,4.9,13
4863,Travis Etienne Jr.,RB,JAX,31.7,899,21,44,3.9,7
1902,Kirk Cousins,QB,ATL,32.4,301,20,46,4.4,11
5337,Isiah Pacheco,RB,KC,32.7,885,22,45,4,5
5854,Jayden Daniels,QB,WAS,33,1382,17,59,5.8,7
2449,Cooper Kupp,WR,LAR,34.1,784,23,46,4.3,11
5574,Drake London,WR,ATL,34.2,578,22,47,4.6,11
5683,De'Von Achane,RB,MIA,36.7,889,24,51,4.6,6
2111,Mike Evans,WR,TB,37.3,392,26,50,4,10
4891,Brandon Aiyuk,WR,SF,39.4,153,29,56,4,8
5207,Nico Collins,WR,HOU,40.7,539,28,57,4.8,8
5626,Rachaad White,RB,TB,41.7,417,29,57,4.6,10
2444,Deshaun Watson,QB,CLE,42.5,244,29,60,4.8,11
6193,Marvin Harrison Jr.,WR,ARI,43.4,1442,29,62,5.4,14
5178,Jaylen Waddle,WR,MIA,43.5,512,32,55,4.3,6
3239,DK Metcalf,WR,SEA,44.1,368,33,56,4.1,11
2886,Baker Mayfield,QB,TB,44.4,182,29,58,5.9,10
5652,James Cook III,RB,BUF,45.1,908,32,59,4.8,7
1989,Travis Kelce,TE,KC,45.9,726,27,62,6.9,5
5625,Kenneth Walker III,RB,SEA,48.3,801,33,63,5.7,11
5544,Chris Olave,WR,NO,48.4,643,34,63,5.4,8
1980,Geno Smith,QB,SEA,50.9,234,31,77,7.4,11
2438,Joe Mixon,RB,HOU,52.2,738,35,67,6.3,8
2125,Davante Adams,WR,NYJ,52.5,948,36,67,6.1,13
2316,Stefon Diggs,WR,HOU,53.2,343,38,69,5.8,8
2277,Amari Cooper,WR,BUF,53.4,254,42,65,4.1,7
5564,Sam LaPorta,TE,DET,54.1,981,36,71,6.9,6
2876,DJ Moore,WR,CHI,55.9,625,42,69,5.1,10
5684,Will Levis,QB,TEN,57.3,200,36,91,8.2,9
2507,Aaron Jones Sr.,RB,MIN,59.8,417,46,74,5.2,6
4883,DeVonta Smith,WR,PHI,59.8,513,45,79,5.4,10
2863,Nick Chubb,RB,CLE,60.3,254,43,75,6.6,11
2470,James Conner,RB,ARI,60.9,534,44,79,6.2,14
2351,Jared Goff,QB,DET,63.4,1857,24,99,15.1,6
4872,Najee Harris,RB,PIT,63.4,221,48,76,5.8,9
6183,Malik Nabers,WR,NYG,63.4,826,48,77,5.8,8
4880,Michael Pittman Jr.,WR,IND,64.5,466,50,82,5.4,13
5648,Brock Purdy,QB,SF,65.1,1615,21,105,16.9,8
5576,George Pickens,WR,PIT,65.5,243,52,78,5.1,9
